norad_cat_id,satellite_name,country,approximate_orbit_type,object_type,launch_year,launch_site,longitude,avg_longitude,geohash,days_old,conjunction_count
44078,EMISAT,IND,LEO,PAYLOAD,2019,SRI,-135.1593309,-55.81775393,"13.7178,80.2",2233,0
49359,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,-7.62907574,-178.1488165,"28.4917337,-80.5825555",2399,0
46858,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0,0,"28.4917337,-80.5825555",2399,0
43568,ARIANE 5 R/B,FR,MEO,ROCKET BODY,2018,FRGUI,-103.8985614,98.42439282290165,"5.222222,-52.773611",2483,0
44047,EGYPTSAT A,EGYP,LEO,PAYLOAD,2019,TTMTR,-145.2668238,63.88744861,"45.965,63.305",2272,0
44644,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,-5.262787641,-153.9408817,"28.4917337,-80.5825555",2399,0
43758,MINXSS-2,US,LEO,PAYLOAD,2018,AFWTR,-154.3219278,-22.13575939,"34.742221,-120.57243",2352,12
43866,CSO-1,FR,Unknown Orbit Category,PAYLOAD,2018,FRGUI,0,0,"5.222222,-52.773611",2336,0
44686,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,92.36167813463031,152.7660248536699,"28.4917337,-80.5825555",2399,0
43886,LEMUR 2 ZO,US,LEO,PAYLOAD,2018,VOSTO,-132.0910262,7.404641488,"51.884553,128.334778",2328,14
44687,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,11.644385365128155,-95.65306506,"28.4917337,-80.5825555",2399,0
43900,OBJECT AA,TBD,LEO,UNKNOWN,2018,VOSTO,112.7645983677226,119.06559370944774,"51.884553,128.334778",2328,0
43874,TJS-3,PRC,GEO,PAYLOAD,2018,XSC,173.00938286812982,148.47384724078054,"28.246017,102.026556",2331,0
44895,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,44.174671280172404,53.31157465521813,"28.4917337,-80.5825555",2399,0
43868,BREEZE-M R/B,CIS,GEO,ROCKET BODY,2018,TTMTR,-45.6607737,-104.1684737,"45.965,63.305",2334,0
44647,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,96.67336673889562,5.726383803508244,"28.4917337,-80.5825555",2399,0
43943,JILIN-01-09,PRC,LEO,PAYLOAD,2019,JSC,89.98492796590969,42.010279868669386,"40.9675,100.278611",2303,432
43754,BREEZE-KM R/B,CIS,LEO,ROCKET BODY,2018,PKMTR,48.96924533278663,-135.2219754,"62.925556,40.577778",2355,0
57591,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,175.7802875,-33.5891112,"28.4917337,-80.5825555",2399,0
43821,FLOCK 3S 2,US,LEO,PAYLOAD,2018,AFWTR,-165.8377561,143.42993472303507,"34.742221,-120.57243",2352,10
49353,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0,0,"28.4917337,-80.5825555",2399,0
44653,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0,0,"28.4917337,-80.5825555",2399,0
43714,TIANPING 1B,PRC,LEO,PAYLOAD,2018,JSC,-83.70348967,-69.38519324,"40.9675,100.278611",2366,63
43650,YZ-1 R/B,PRC,MEO,ROCKET BODY,2018,XSC,-87.12960559,170.23595665805394,"28.246017,102.026556",2401,0
43929,IRIDIUM 171,US,LEO,PAYLOAD,2019,AFWTR,37.671339306938336,-15.88560443,"34.742221,-120.57243",2313,8
47343,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0,0,"28.4917337,-80.5825555",2399,0
43913,YUNHAI 2-1E,PRC,LEO,PAYLOAD,2018,JSC,153.34286049941954,22.50462795042484,"40.9675,100.278611",2326,11
43813,BRIO,US,LEO,PAYLOAD,2018,AFWTR,-140.9383661,-20.22431272,"34.742221,-120.57243",2352,18
48551,H-2A DEB *,JPN,LEO,DEBRIS,2018,TNSTA,-166.5027962,136.6387683507298,"30.4,130.97",2387,0
44680,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,28.82281198330241,59.33067251777804,"28.4917337,-80.5825555",2399,0
44684,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,117.15706497141726,-11.81761086,"28.4917337,-80.5825555",2399,0
46842,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0,0,"28.4917337,-80.5825555",2399,0
43770,AO-95,US,LEO,PAYLOAD,2018,AFWTR,11.85350856191831,-11.18908155,"34.742221,-120.57243",2352,9
43867,COSMOS 2533,CIS,GEO,PAYLOAD,2018,TTMTR,70.04039155683222,69.97102753890822,"45.965,63.305",2334,2
46485,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,-155.7731894,140.8918081261228,"28.4917337,-80.5825555",2399,0
43774,HIBER-2,NETH,LEO,PAYLOAD,2018,AFWTR,39.31979586158354,-2.159541731,"34.742221,-120.57243",2352,0
43812,GLOBAL-2,US,LEO,PAYLOAD,2018,AFWTR,26.078689994777577,-59.03783944,"34.742221,-120.57243",2352,22
44663,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0,123.09421792944556,"28.4917337,-80.5825555",2399,0
44654,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,55.31499691683868,69.42217712546531,"28.4917337,-80.5825555",2399,0
46666,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0,0,"28.4917337,-80.5825555",2399,0
43593,DELTA 4 R/B(2),US,Unknown Orbit Category,ROCKET BODY,2018,AFETR,0,0,"28.4917337,-80.5825555",2465,0
46862,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0,0,"28.4917337,-80.5825555",2399,0
43790,EAGLET 1,IT,LEO,PAYLOAD,2018,AFWTR,36.85437693988712,-44.23957238,"34.742221,-120.57243",2352,0
46660,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0,4.422631049217086,"28.4917337,-80.5825555",2399,0
44035,GSAT 31,IND,GEO,PAYLOAD,2019,FRGUI,47.87307258331919,47.91748417,"5.222222,-52.773611",2288,0
43799,HAWK-C,US,LEO,PAYLOAD,2018,AFWTR,26.132361188745783,90.04939103915581,"34.742221,-120.57243",2352,19
43573,IRIDIUM 155,US,LEO,PAYLOAD,2018,AFWTR,71.46120671203509,-80.31450595,"34.742221,-120.57243",2483,29
49360,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0,0,"28.4917337,-80.5825555",2399,0
46843,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0,0,"28.4917337,-80.5825555",2399,0
43569,IRIDIUM 160,US,LEO,PAYLOAD,2018,AFWTR,-99.95014819,172.81794077129348,"34.742221,-120.57243",2483,24
46846,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0,-109.4679101,"28.4917337,-80.5825555",2399,0
46856,ATLAS 5 CENTAUR DEB,US,HEO,DEBRIS,2018,AFETR,0,0,"28.4917337,-80.5825555",2399,0
43605,YZ-1 R/B,PRC,MEO,ROCKET BODY,2018,XSC,-11.61959086,-19.47183836,"28.246017,102.026556",2453,0
44062,ONEWEB-0011,UK,LEO,PAYLOAD,2019,FRGUI,-50.22106252,18.80264352578493,"5.222222,-52.773611",2266,0
