geohash,country,satellite_name,approximate_orbit_type,longitude,object_type,launch_year,launch_site,norad_cat_id,avg_longitude,days_old,conjunction_count
"13.7178,80.2",IND,EMISAT,LEO,-135.1593309,PAYLOAD,2019,SRI,44078,-55.81775393,2233,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,-7.62907574,DEBRIS,2018,AFETR,49359,-178.1488165,2399,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,0,DEBRIS,2018,AFETR,46858,0,2399,0
"5.222222,-52.773611",FR,ARIANE 5 R/B,MEO,-103.8985614,ROCKET BODY,2018,FRGUI,43568,98.42439282290165,2483,0
"45.965,63.305",EGYP,EGYPTSAT A,LEO,-145.2668238,PAYLOAD,2019,TTMTR,44047,63.88744861,2272,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,-5.262787641,DEBRIS,2018,AFETR,44644,-153.9408817,2399,0
"34.742221,-120.57243",US,MINXSS-2,LEO,-154.3219278,PAYLOAD,2018,AFWTR,43758,-22.13575939,2352,12
"5.222222,-52.773611",FR,CSO-1,Unknown Orbit Category,0,PAYLOAD,2018,FRGUI,43866,0,2336,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,92.36167813463031,DEBRIS,2018,AFETR,44686,152.7660248536699,2399,0
"51.884553,128.334778",US,LEMUR 2 ZO,LEO,-132.0910262,PAYLOAD,2018,VOSTO,43886,7.404641488,2328,14
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,11.644385365128155,DEBRIS,2018,AFETR,44687,-95.65306506,2399,0
"51.884553,128.334778",TBD,OBJECT AA,LEO,112.7645983677226,UNKNOWN,2018,VOSTO,43900,119.06559370944774,2328,0
"28.246017,102.026556",PRC,TJS-3,GEO,173.00938286812982,PAYLOAD,2018,XSC,43874,148.47384724078054,2331,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,44.174671280172404,DEBRIS,2018,AFETR,44895,53.31157465521813,2399,0
"45.965,63.305",CIS,BREEZE-M R/B,GEO,-45.6607737,ROCKET BODY,2018,TTMTR,43868,-104.1684737,2334,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,96.67336673889562,DEBRIS,2018,AFETR,44647,5.726383803508244,2399,0
"40.9675,100.278611",PRC,JILIN-01-09,LEO,89.98492796590969,PAYLOAD,2019,JSC,43943,42.010279868669386,2303,432
"62.925556,40.577778",CIS,BREEZE-KM R/B,LEO,48.96924533278663,ROCKET BODY,2018,PKMTR,43754,-135.2219754,2355,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,175.7802875,DEBRIS,2018,AFETR,57591,-33.5891112,2399,0
"34.742221,-120.57243",US,FLOCK 3S 2,LEO,-165.8377561,PAYLOAD,2018,AFWTR,43821,143.42993472303507,2352,10
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,0,DEBRIS,2018,AFETR,49353,0,2399,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,0,DEBRIS,2018,AFETR,44653,0,2399,0
"40.9675,100.278611",PRC,TIANPING 1B,LEO,-83.70348967,PAYLOAD,2018,JSC,43714,-69.38519324,2366,63
"28.246017,102.026556",PRC,YZ-1 R/B,MEO,-87.12960559,ROCKET BODY,2018,XSC,43650,170.23595665805394,2401,0
"34.742221,-120.57243",US,IRIDIUM 171,LEO,37.671339306938336,PAYLOAD,2019,AFWTR,43929,-15.88560443,2313,8
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,0,DEBRIS,2018,AFETR,47343,0,2399,0
"40.9675,100.278611",PRC,YUNHAI 2-1E,LEO,153.34286049941954,PAYLOAD,2018,JSC,43913,22.50462795042484,2326,11
"34.742221,-120.57243",US,BRIO,LEO,-140.9383661,PAYLOAD,2018,AFWTR,43813,-20.22431272,2352,18
"30.4,130.97",JPN,H-2A DEB *,LEO,-166.5027962,DEBRIS,2018,TNSTA,48551,136.6387683507298,2387,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,28.82281198330241,DEBRIS,2018,AFETR,44680,59.33067251777804,2399,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,117.15706497141726,DEBRIS,2018,AFETR,44684,-11.81761086,2399,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,0,DEBRIS,2018,AFETR,46842,0,2399,0
"34.742221,-120.57243",US,AO-95,LEO,11.85350856191831,PAYLOAD,2018,AFWTR,43770,-11.18908155,2352,9
"45.965,63.305",CIS,COSMOS 2533,GEO,70.04039155683222,PAYLOAD,2018,TTMTR,43867,69.97102753890822,2334,2
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,-155.7731894,DEBRIS,2018,AFETR,46485,140.8918081261228,2399,0
"34.742221,-120.57243",NETH,HIBER-2,LEO,39.31979586158354,PAYLOAD,2018,AFWTR,43774,-2.159541731,2352,0
"34.742221,-120.57243",US,GLOBAL-2,LEO,26.078689994777577,PAYLOAD,2018,AFWTR,43812,-59.03783944,2352,22
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,0,DEBRIS,2018,AFETR,44663,123.09421792944556,2399,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,55.31499691683868,DEBRIS,2018,AFETR,44654,69.42217712546531,2399,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,0,DEBRIS,2018,AFETR,46666,0,2399,0
"28.4917337,-80.5825555",US,DELTA 4 R/B(2),Unknown Orbit Category,0,ROCKET BODY,2018,AFETR,43593,0,2465,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,0,DEBRIS,2018,AFETR,46862,0,2399,0
"34.742221,-120.57243",IT,EAGLET 1,LEO,36.85437693988712,PAYLOAD,2018,AFWTR,43790,-44.23957238,2352,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,0,DEBRIS,2018,AFETR,46660,4.422631049217086,2399,0
"5.222222,-52.773611",IND,GSAT 31,GEO,47.87307258331919,PAYLOAD,2019,FRGUI,44035,47.91748417,2288,0
"34.742221,-120.57243",US,HAWK-C,LEO,26.132361188745783,PAYLOAD,2018,AFWTR,43799,90.04939103915581,2352,19
"34.742221,-120.57243",US,IRIDIUM 155,LEO,71.46120671203509,PAYLOAD,2018,AFWTR,43573,-80.31450595,2483,29
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,0,DEBRIS,2018,AFETR,49360,0,2399,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,0,DEBRIS,2018,AFETR,46843,0,2399,0
"34.742221,-120.57243",US,IRIDIUM 160,LEO,-99.95014819,PAYLOAD,2018,AFWTR,43569,172.81794077129348,2483,24
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,0,DEBRIS,2018,AFETR,46846,-109.4679101,2399,0
"28.4917337,-80.5825555",US,ATLAS 5 CENTAUR DEB,HEO,0,DEBRIS,2018,AFETR,46856,0,2399,0
"28.246017,102.026556",PRC,YZ-1 R/B,MEO,-11.61959086,ROCKET BODY,2018,XSC,43605,-19.47183836,2453,0
"5.222222,-52.773611",UK,ONEWEB-0011,LEO,-50.22106252,PAYLOAD,2019,FRGUI,44062,18.80264352578493,2266,0
